Name	Strain	Temp	ncbiTaxID	Genome
Brevibacillus aydinogluensis	PDF25	55	927786	
Caldilinea tarbellica	D1-25-10-4	55	859243	
Acetomicrobium hydrogeniformans	OS1	55	649746	
Nautilia nitratireducens	MB-1	55	1305736	
Cellulosibacter alkalithermophilus	A6	55	630405	
Laceyella sediminis	RHA1	55	573074	
Hydrogenophilus islandicus	16C	55	545536	
Calditerrivibrio nitroreducens	Yu37-1	55	477976	GCA_000183405.1
Symbiobacterium ostreiconchae	KY38	55	471799	
Bellilinea caldifistulae	GOMI-1	55	360411	
Hydrogenimonas thermophila	EP1-55-1% 	55	223786	
Caminibacter profundus	CR	55	217041	
Geothermobacter ehrlichii	SS015	55	213224	
Petrotoga mexicana	MET12	55	204046	
Bacillus aeolius	41	55	203540	
Caldilinea aerophila	STL-6-O1 	55	133453	GCA_000281175.1
Pelotomaculum thermopropionicum	SI	55	370438	
Coprothermobacter platensis	3R 	55	108819	
Marinitoga camini	MV1075	55	106262	
Meiothermus silvanus	VI-R2	55	-1	GCA_000092125.1
Kyrpidia tusciae	T2	55	33943	GCA_000092905.1
Acidothermus cellulolyticus	11B	55	351607	GCA_000015025.1
Sphaerobacter thermophilus	Sphaerobacter thermophilus	55	2057	GCA_000024985.1
Methanoculleus thermophilus	CR-1	55	2200	
Meiothermus roseus	YIM 71031	50	-1	
Laceyella thermophila	YIM 79486	50	1644115	
Novibacillus thermophilus	SG-1 	50	1471761	GCA_002005165.1
Quasibacillus thermotolerans	SgZ-8	50	-1	
Lihuaxuella thermophila	YIM 77831	50	1173111	
Vulcaniibacterium thermophilum	YIM 77875	50	1169913	
Caloribacterium cisternae	SGL43	50	996765	
Thermomonospora curvata	B9	50	2020	GCA_000024385.1
Acidiplasma aeolicum	V	45	507754	
Bacillus beveridgei	MLTeJB	37	-1	GCA_001721685.1
Tersicoccus phoenicis	1P05MA	30	554083	
Pseudodesulfovibrio profundus	500-1	25	57320	GCA_900217235.1
Dichotomicrobium thermohalophilum	 IFAM 954	63	933063	
Planifilum fimeticola	H0165	59	201975	
Marinithermofilum abyssi	SCSIO 11157 	57,5	1571185	
Geobacillus jurassicus	DS-1	59	235932	
Petrotoga mobilis	SJ95	59	403833	GCA_000018605.1
Mesoaciditoga lauensis	cd-1655R	58,5	1495039	
Defluviitalea phaphyphila	Alg1	57,5	1473580	
Desulfotomaculum peckii	LINDBHT1	57,5	-1	
Methylothermus subterraneus	HTM55	57,5	697197	
Meiothermus rufus	CAL-4	57,5	604332	
Caminicella sporogenes	AM1114	57,5	166485	
Alicyclobacillus herbarius	 CP-1	57,5	122960	
Acetomicrobium mobile	NGA	57,5	97477	GCA_000266925.1
Thermicanus aegyptius	ET-5b	57,5	94009	
Desulfotomaculum thermoacetoxidans	CAMZ	57,5	-1	
Caenibacillus caldisaponilyticus	B157	55	1674942	
Thermomarinilinea lacunifontana	SW7	55	1081799	
Thermotunica guangxiensis	AG2-7 	52,5	1248146	
Moorella thermoacetica	ATCC 35608	57	1525	GCA_001267435.1
Albidovulum xiamenense	YBY-7	54	-1	
Brevibacillus sediminis	YIM 78300	52,5	1707527	
Thermoanaerobacterium butyriciformans	 USBA-019	52,5	1702242	
Caldisalinibacter kiritimatiensis	L21-TH-D2	52,5	1304284	
Melghirimyces profundicolus	SCSIO 11153	52,5	1242148	
Anaerobranca gottschalkii	LBS3	52,5	108328	
Thermodesulfobium narugense	Na82	52,5	184064	GCA_000212395.1
Tepidimonas ignava	SPS-1037	52,5	114249	
Caloramator coolhaasii	Z	52,5	95159	
Methanoculleus receptaculi	ZC-2	52,5	394967	
Actinomadura rubrobrunea	ATCC 49883	50	115335	
Actinomadura viridilutea	ATCC 33925	50	58112	
Hippea maritima	MH2	53	84405	GCA_000194135.1
Thiomonas thermosulfata	 ATCC 51520	51,25	40991	
Dissulfurimicrobium hydrothermale	Sh68	51	1750598	
Tepidibacillus fermentans	STGH	51	1281767	
Amphiplicatus metriothermophilus	GU51	49	1519374	
Thalassorhabdus alkalitolerans	G27	38,5	2282697	
Desulfacinum hydrothermale	MT-96	60	109258	
Ureibacillus thermosphaericus	DSM 10633	60	51173	GCA_002370195.2
Desulfonauticus autotrophicus	TeSt	58	564288	
Caloramator viterbiensis	�JW/MS-VS5	58	112729	
Anoxybacillus voinovskiensis	TH13	54	230470	
Anaerobranca zavarzinii	JW/VK-KS5Y	57	436000	
Caldalkalibacillus uzonensis	JW/WZ-YB58	51	353224	
Thermoflavifilum aggregans	P373 	60	454188	
Thermoplasma acidophilum	122-1B2	59	2303	GCA_000195915.1
Lebetimonas natsushimae	HS1857	55	1936991	
Desulfurella propionica	U-8	55	79271	
Acidiplasma cupricumulans	BH2	53,6	312540	
Sinibacillus soli	GD05	50	1289106	
Thermocrispum municipale	MKD 35	44	37926	
Thermocrispum agreste	CHB77 	50	37925	
Desulfosoma caldarium	USBA-053	57	610254	
Herbinix hemicellulosilytica	T3/55 	55	1564487	
Methylocaldum szegediense	OR2	55	73780	
Desulfotomaculum thermobenzoicum	TPO	55	-1	
Deferrisoma camini	S3R1	50	1125863	
Tepidimicrobium ferriphilum	SB91	50	285106	
Natribaculum longum	TRM20345 	37	1419051	
Natribaculum breve	TRM20010 	37	1419050	
Melghiribacillus thermohalophilus	Nari2A 	52,5	1324956	
Thermasporomyces composti	I3	52,5	696763	
Thiobacter subterraneus	C55	52,5	279810	
Clostridium thermobutyricum	JW171K 	55	29372	
Bacillus kokeshiiformis	MO-04	50	-1	
Thermobacillus composti	KWC4	50	717605	GCA_000227705.3
Tepidiphilus margaritifer	N2-214	50	203471	
Bacillus coagulans	ATCC 7050	48,5	-1	GCA_001039495.1
Haloterrigena limicola	AX-7	47,5	-1	
Tepidimonas sediminis	YIM 72259	47,5	2588941	
Petrothermobacter organivorans	ANA	55	1856807	
Calorithrix insularis	KR	55	1852309	
Athalassotoga saccharophila	NAS-01	55	1441386	GCA_009936215.1
Crenotalea thermophila	STH-1-Y1 	55	-1	
Thermoactinomyces daqus	H-18 	55	1329516	
Anoxybacillus suryakundensis	JS1 	55	1325335	
Ureibacillus defluvii	DX-1	55	1245527	
Melioribacter roseus	P3M-2	55	1191523	GCA_000279145.1
Acetomicrobium thermoterrenum	Rwcit	55	1120986	
Tepidimonas fonticaldi	AT-A2	55	1101373	
Paenibacillus marinum	THE22	55	1033264	
Thermotomaculum hydrothermale	AC55	55	981385	
Caloramator mitchellensis	VF08	55	908809	
Desulfosoma profundi	SPDX02-08	55	869805	
Methylacidiphilum kamchatkense	Kam1	55	1202785	GCA_007475525.1
Sporolituus thermophilus	AeG 	55	608505	
Symbiobacterium terraclitae	KA13	55	557451	
Desulfotomaculum hydrothermale	Lam5	55	-1	
Caldimonas hydrothermale	HAN-85	55	391358	
Desulfomicrobium thermophilum	P6-2 	55	-1	
Thermodesulfovibrio thiophilus	TDV 	55	340095	
Vulcanibacillus modesticaldus	BR	55	337097	
Tepidimonas taiwanensis	I1-1	55	307486	
Caldimonas taiwanensis	Onl	55	307483	
Alicyclobacillus vulcanalis	CsHg2	55	252246	
Effusibacillus pohliae	MP4	55	232270	
Tepidiphilus succinatimandens	4BON	55	224436	
Garciella nitratireducens	 MET79	55	218205	
Alicyclobacillus sendaiensis	NTAP-1	55	192387	
Anaerolinea thermophila	UNI-1 	55	167964	GCA_000199675.1
Petrotoga olearia	SL24	55	156203	
Syntrophothermus lipocalidus	TGB-C1	55	86170	GCA_000092405.1
Meiothermus cerbereus	GY-1	55	65552	
Bacillus methanolicus	PB1	55	997296	GCA_000724485.1
Halopiger goleimassiliensis	IIH3	55	1293048	
Methanocella conradii	HZ254	55	1041930	GCA_000251105.1
Thermogutta hypogea	SBP2	52	1331911	
Raineya orbicola	SPSPC-11	50	2016530	
Scopulibacillus daqui	ZQ18-1	50	1469162	
Thermosporothrix narukonensis	F4	50	1445971	
Kroppenstedtia guangzhouensis	GD02	50	1274356	
Bacillus sediminis	DX-5	50	-1	
Compostibacillus humi	DX-3	50	1245525	
Bacillus composti	SgZ-9 	50	-1	
Georgenia sediminis	SCSIO 15020	50	1242744	
Desulfotomaculum tongense	TGB60-1 	50	-1	
Bacillus thermocopriae	SgZ-7 	50	-1	GCA_004116995.1
Bacillus hisashii	N-11 	50	-1	
Schleiferia thermophila	TU-20 	50	884107	
Exilispira thermophila	RASEN	50	478105	
Saccharomonospora glauca	K62	50	928724	
Clostridium tepidiprofundi	SG 508	50	420412	
Desulfothermus okinawensis	TFISO9	50	392842	
Schlegelella aquatica	wcf1	50	376175	
Mahella australiensis	50-1 BON	50	697281	GCA_000213255.1
Bacillus thermolactis	R-6488 	50	-1	
Anoxybacillus contaminans	DSM 15866	50	225988	
Tepidibacter thalassicus	SC 562	50	214905	
Thermomonas hydrothermalis	SGM-6	50	213588	
Desulfotomaculum thermosapovorans	MLF	50	-1	
Meiothermus chliarophilus	ALT-8	50	-1	
Methanonatronarchaeum thermophilum	AMET1	50	1927129	
Haloterrigena hispanica	FP1	50	-1	
Haloterrigena thermotolerans	PR5	50	-1	
Tepidicella baoligensis	B18-50	45	2707016	
Bacillus kexueae	Ma50-5	45	2078952	
Sporohalobacter salinus	 CEJFT1B	45	1494606	
Desulfotomaculum profundi	Bs107	45	-1	
Bacillus thaonhiensis	NHI-38	45	1178786	
Halanaerobacter jeridensis	CEJFG43	45	706427	
Cohnella laeviribosi	 RI-39	45	380174	
Desulfonauticus submarinus	6N	45	206665	
Geotoga subterranea	T5	45	28235	
Halopiger thermotolerans	SR-441	45	1383816	
Ferroplasma thermophilum	L1	45	1334192	
Sulfobacillus thermotolerans	Kr1	40	338644	
Halocalculus aciditolerans	MH2-243-1	40	1383812	
Methanohalobium evestigatum	Z-7303	40	644295	GCA_000196655.1
Bacillus haynesii	 NRRL B-41327	37	1925021	
Bacillus swezeyi	NRRL B-41294	37	1925020	
Bacillus paralicheniformis	KJ-16 	37	1648923	GCA_008365255.1
Bacillus caseinilyticus	SP	37	-1	
Glycomyces halotolerans	TRM 40137	37	942029	
Halomonas zhaodongensis	NEAU-ST10-25	35	1176240	
Novosphingobium endophyticum	EGI 60015	30	1955250	
Bacillus wudalianchiensis	FJAT-27215	30	1743143	
Halobacillus andaensis	NEAU-ST10-40	30	1176239	
Bradyrhizobium erythrophlei	�CCBAU 53325	28	1437360	
Paracoccus sphaerophysae	Zy-3	28	690417	
Meiothermus cateniformans	LY1	57,5	-1	
Ureibacillus composti	HC145	55	367742	
Pseudoxanthomonas taiwanensis	CB-226	55	176598	
Lutispora thermophila	EBR46 	56,5	288966	
Defluviitalea raffinosedens	A6	52,5	1450156	
Geothermomicrobium terrae	YIM 77562 	52,5	1411133	
Defluviitalea saccharophila	LIND6LT2	52,5	879970	
Tepidiphilus thermophilus	JHK30	52,5	876478	
Alicyclobacillus contaminans	3-A191	52,5	392016	
Alicyclobacillus macrosporangiidus	5-A239-2O-A	52,5	392015	
Alicyclobacillus kakegawensis	5-A83J	52,5	392012	
Sulfurivirga caldicuralii	MM1	52,5	364032	
Tuberibacillus calidus	607	52,5	340097	
Tepidimonas thermarum	AA-1	52,5	335431	
Gelria glutamica	TGO	52,5	159343	
Sulfobacillus thermosulfidooxidans	AT-1	52,5	28034	
Thermostaphylospora grisealba	3-12X	50	1490296	
Thermoactinospora rubra	YIM 77501 	50	1088767	
Thermopolyspora flexuosa	DSM 43186	50	103836	
Melghirimyces algeriensis	NariEX	47,5	910412	
Nonomuraea thermotolerans	3-33-9B	46	1490292	
Tepidiforma bonchosmolovskayae	3753O	52	2601677	GCA_008838325.1
Effusibacillus lacus	skLN1 	51	1348429	
Paenibacillus tezpurensis	AS-S24-II	47,5	627231	
Fontimonas thermophila	HA-01 	47,5	1076937	
Gracilibacillus halophilus	YIM-C55.5	47,5	1308866	
Alicyclobacillus shizuokensis	4-A336	47,5	392014	
Tepidanaerobacter syntrophicus	JL	47,5	224999	
Alicyclobacillus pomorum	3A	47,5	204470	
Bacillus okuhidensis	GTC 854	47,5	-1	
Crenalkalicoccus roseus	YIM 78023	45	1485588	
Pseudonocardia thermophila	MB A-18	45	1848	
Saccharopolyspora subtropica	T3	43,5	1530170	
Orenia metallireducens	Z6	40	1413210	
Paenibacillus thermophilus	WP-1	43,5	-1	
Pueribacillus theae	T8	41	2171751	
Aneurinibacillus sediminis	1-10M-8-7-50	41	1776164	
Salinigranum halophilum	YJ-53	41	2565931	
Nocardiopsis chromatogenes	 CCTCC AA 2040015	38,5	280239	
Nocardiopsis rhodophaea	CCTCC AA 2040014	38,5	280238	
Nocardiopsis rosea	CCTCC AA 2040013	38,5	280237	
Natrinema gari	HIS40-3	38,5	419186	
Chelatococcus composti	PC-2	37,5	1743235	
Tepidibacillus decaturensis	Z9	35	1413211	
Bacillus abyssalis	SCSIO 15042	32,5	-1	
Rhodopseudomonas thermotolerans	JA576 	32,5	999700	
Bacillus nealsonii	FO-92	32,5	-1	
Pseudoclavibacter endophyticus	EGI 60007	30	1778590	
Chloroflexus islandicus	isl-2	55	1707952	
Chloracidobacterium thermophilum	B	51	981222	GCA_000226295.1
Tepidibacillus infernus	MBL-TLP	50	1806172	
Dissulfurirhabdus thermomarina	SH388	50	1765737	
Aciditerrimonas ferrireducens	IC-180	50	667306	
Thermosporothrix hazakensis	SK20-1 	50	644383	
Methanomethylovorans thermophila	L2FAW	50	286152	
Laceyella putida	ATCC 49853	48	110101	
Alterococcus agarolyticus	ADT3	48	78554	
Paramaledivibacter caminithermalis	DVird3	45	191027	
Paenibacillus thermoaerophilus	TC22- 2b 	52,5	1215385	
Desulfotomaculum alkaliphilum	S1	52,5	-1	
Thermanaerovibrio acidaminovorans	Su883	52,5	81462	GCA_000024905.1
Thermocatellispora tengchongensis	YIM 77521 	47,5	1073253	
Brevibacillus thermoruber	BT2	46,5	33942	
Halorubrum lipolyticum	44077	46,5	368624	
Desulfotomaculum intricatum	SR45	43,5	-1	
Haloterrigena saccharevitans	AB14	43,5	-1	
Oceanicella actignis	PRQ-67	50	1189325	
Halorhabdus rudnickae	WSM-64	40	1775544	
Nitratiruptor tergarcus	MI55-1	55	269259	
Haloterrigena turkmenica	4k	51	62320	GCA_000025325
Meiothermus hypogaeus	AZM34c11	50	884155	
Chelativorans composti	Nis3	50	768533	
Acidimicrobium ferrooxidans	ICP 	48	53635	GCA_000023265.1
Thermochromatium tepidum	MC	49	1050	GCA_009664085.1
Natranaerobaculum magadiense	Z-1001	47,5	929101	
Halobiforma lacisalsi	AJ5	43,5	358396	GCA_000226975.3
Natranaerobius thermophilus	JW/NM-WN-LF	53	375929	GCA_000020005.1
Heliobacterium modesticaldum	Ice1	52	-1	GCA_000019165.1
Natronolimnobius aegyptiacus	JW/NM-HA 15	52	-1	GCA_002156705.1
Natronovirga wadinatrunensis	JW/NM-WN-LH1 	51	759415	
Halorubrum coriense	Ch2	50	64713	
Halorubrum saccharovorum	M6	50	2248	
Pseudomonas thermotolerans	CM3	47	157784	
Amphibacillus tropicus	Z-7792	38	173040	
Paenibacillus phocaensis	mt24	37	1776378	
Rubeoparvulum massiliense	mt6	37	1631346	
Heliothrix oregonensis	 IS/F-I	47,5	1110	
Rubellimicrobium thermophilum	C-lvk-R2A-2 	48,5	295419	
Tepidisphaera mucosa	2842	48,5	1546155	
Haloterrigena longa	ABH32	43	-1	
Thauera hydrothermalis	GD-2	47,5	-1	GCA_003345255.1
Petrotoga sibirica	SL25	55	156202	
Haloferax elongans	SA5	53	403191	
Natranaerobius trueperi	JW/NM-WN-LU	52	759412	
Rubrobacter spartanus	HPK2-2	50	1933902	
Desulfotomaculum ferrireducens	GSS09	50	-1	GCA_002005145.1
Meiothermus terrae	YIM 77755	50	-1	
Caloramator quimbayensis	USBA A	50	1147123	
Desulfotomaculum varum	RH04-3	50	886292	
Fervidicella metallireducens	 AeB	50	655338	
Thioprofundum lithotrophicum	106	50	571898	
Thermotalea metallivorans	B2-1	50	520762	
Thermophagus xiamenensis	HS-1	50	385682	
Anaerolinea thermolimosa	IMO-1	50	229919	
Cerasibacillus quisquiliarum	 BLx	50	227865	
Porphyrobacter cryptus	ALC-2	50	-1	
Alicyclobacillus acidiphilus	TA-67	50	182455	
Anaerophaga thermohalophila	Fru22 	50	177400	
Roseiflexus castenholzii	HLO8	50	120962	GCA_000017805.1
Bacillus fumarioli	 Logan B1801	50	-1	
Geotoga petraea	CC-1	50	28234	
Methanolinea tarda	NOBI-1	50	882090	
Halorhabdus utahensis	AX-2	50	146826	GCA_000023945.1
Natrialba hulunbeirensis	X21	50	123783	
Haloferax denitrificans	S1	50	35745	
Halobacterium salinarum	NCR-1	50	2242	GCA_000006805.1
Methanosarcina thermophila	TM-1	50	523844	GCA_000969885.1
Hypnocyclicus thermotrophus	IR-2	48	1627895	
Halopelagius longus	BC12-B1	48	1236180	
Actinomyces ruminicola	Sh 13/4563	46	332524	
Methanococcus aeolicus	Nankai-3	46	419665	GCA_000017185.1
Coralloluteibacterium thermophilus	B51-30	45	2707049	
Tepidimonas alkaliphilus	 YIM 72238	45	2588942	
Alicyclobacillus montanus	USBA-GBX-503	45	1830138	
Rhabdanaerobium thermarum	SYSU GA15001	45	1715347	
Prauserella oleivorans	RIPI	45	1478153	
Actinomadura cellulosilytica	YIM 77510	45	-1	
Actinomadura amylolytica	YIM 77502	45	-1	GCA_003589885.1
Rehaibacterium terrae	YIM 77974	45	1341696	
Vulcaniibacterium tengchongense	YIM 77520	45	1273429	
Nocardiopsis yanglingensis	A18	45	672459	
Ignavibacterium album	Mat9-16	45	591197	GCA_000258405.1
Actinomadura keratinilytica	WCC-2265	45	547461	
Tepidicella xavieri	TU-16	45	360241	
Tepidibacter formicigenes	DV1184	45	227138	
Methanosarcina flavescens	E03.2	45	1715806	
Natrarchaeobius halalkaliphilus	AArcht-Sl	45	1679091	
Halosiccatus urmianus	DC8	45	1586233	
Natrinema salaciae	MDB25	45	1186196	
Methanocella arvoryzae	MRE50	45	351160	GCA_000063445.1
Halobaculum magnesiiphilum	MGY-184	45	1017351	
Halobellus limi	TBN53	45	699433	GCA_004799685.1
Halarchaeum nitratireducens	MH1-136-2	45	489913	
Natrialba chahannaoensis	C112	45	68911	
Natronorubrum tibetense	GA33	45	1114856	
Natronorubrum bangense	A33	45	61858	GCA_004799645.1
Natronomonas pharaonis	Gabara	45	2257	GCA_000026045.1
Haloferax volcanii	DS2	45	309800	GCA_000025685.1
Methanobacterium ivanovii	31	45	2163	
Halarsenatibacter silvermanii	SLAS-1	44	321763	
Annwoodia aquaesulis	ATCC 43788	43	47959	
Geosporobacter subterraneus	VNs68	42	390806	
Halomicrobium zhouii	TBN51	42	767519	
Halorubrum arcis	AJ201	42	368454	
Isosphaera pallida	IS1B	41	128	GCA_000186345.1
Acidobacterium ailaaui	PMMR2	40	-1	
Anaerosalibacter bizertensis	C5BEL	40	932217	
Cohnella fontinalis	YT-1101	40	477675	
Halomonas beimenensis	NTU-107	40	475662	GCA_002549795.1
Nautilia profundicola	AmH	40	598659	GCA_000021725.1
Natrialba swarupiae	ESP3B_9	40	2448032	
Halomicroarcula pellucida	BNERC31	40	1427151	
Halopiger djelfimassiliensis	IIH2	40	1293047	
Haloarchaeobius iranensis	EB21	40	996166	
Salarchaeum japonicum	YSM-79	40	555573	
Halobacterium jilantaiense	NG4	40	355548	
Haloferax gibbonsii	Ma 2.38	40	35746	GCA_001190965.1
Halomicrococcus hydrotolerans	H22	37	2304676	
Haloplanus rallus	MBLA0036	37	1816183	GCA_009762275.1
Halobellus rufus	CBA1103	37	1448860	
Halorubrum rutilum	YJ-18-S1	37	1364933	
Salinirussus salinus	YGH44	37	1198300	
Natronoarchaeum mannanilyticum	YSM-123	37	926360	
Halorubrum sfaxense	ETD6	37	725131	
Halostagnicola alkaliphila	167-74	37	691825	
Halorubrum kocurii	BG-1	37	478441	
Haloferax alexandrinus	TM	37	114529	
Bhargavaea cecembensis	DSE10	37	1235279	
Nesterenkonia cremea	10C	37	1882340	
Tersicoccus solisilvae	36A	37	1882339	
Lysinibacillus telephonicus	S5H2222	37	1714840	
Pelagirhabdus alkalitolerans	S5	37	1612202	
Lampropedia cohaerens	CT6	37	1610491	
Alkaliphilus hydrothermalis	FatMR1	37	1482730	
Streptomonospora tuzyakensis	BN506	37	1384037	
Desertibacillus haloalkaliphilus	KJ1-10-99	37	1328930	
Bacillus acidiproducens	SL213	37	-1	
Actinokineospora soli	YIM 75948	37	1048753	
Microvirga massiliensis	JC119	37	1033741	
Kurthia massiliensis	JC30	37	1033739	
Bacillus siamensis	PD-A10	37	659243	GCA_002850535.1
Gracilibacillus thailandensis	TP2-8	37	563735	
Alkalibacillus flavidus	ISL-17	37	546021	
Aquisalibacillus elongatus	SH4s	37	485577	
Sediminibacillus halophilus	EN8d 	37	482461	
Paracoccus saliphilus	YIM90738	37	405559	
Paenibacillus thailandensis	S3-4A	37	393250	
Paenibacillus motobuensis	MC10	37	295324	
Bacillus sporothermodurans	M215	37	-1	
Lactobacillus panisapium	Bb 2-3	37	2012495	
Desulfobulbus aggregans	SM40	35	-1	
Lysinibacillus halotolerans	LAM612	35	1368476	
Piscibacillus halophilus	HS224	35	571933	
Alkalilimnicola halodurans	34Alc	35	133194	
Halomarina salina	ZS-57-S	30	1872699	
Cellulosimicrobium aquatile	3bp	30	1612203	
Pontibacillus salicampi	BH04	30	1449801	
Idiomarina halophila	BH195	30	-1	
Vallitalea pronyensis	FatNI3 	30	1348613	
Actinotalea caeni	EBR-4-2	30	1348467	
Chelativorans intermedius	CC-MHSW-5	30	515947	
Paraburkholderia rhizosphaerae	WR43	30	480658	
Algibacter alginicilyticus	HZ22	28	1736674	GCA_001310225.1
Marinactinospora endophytica	YIM 690053 	28	1634059	
Halomonas salicampi	BH103	28	1449798	
Amphibacillus marinus	J1	28	872970	
Paraburkholderia humisilvae	Y-12	28	627669	
Paraburkholderia solisilvae	Y-47	28	624376	
Marinactinospora thermotolerans	SCSIO 00652 	28	531310	
Amphibacillus sediminis	Shu-P-Ggiii25-2	27	360185	
Thermoactinomyces khenchelensis	T36	52,5	1470181	
Haloterrigena mahii	H13	50	-1	
Haloferax mediterranei	R-4	50,5	2252	GCA_000306765.2
Alicyclobacillus hesperidum	FR-11	51,5	89784	
Alicyclobacillus acidoterrestris	GD3B	47,5	1450	
Haloferax mucosum	PA12 	47,5	403181	
Clostridium isatidis	Wv6	50,5	182773	GCA_002285495.1
Clostridium tepidum	IEH 97212	47,5	1962263	
Paenibacillus cisolokensis	 LC2-13AT	47,5	1658519	
Limnochorda pilosa	HC45	47,5	1555112	GCA_001544015.1
Thermoactinomyces guangxiensis	CD-1	47,5	-1	
Meiothermus granaticius	AF-68	47,5	863370	
Tepidamorphus gemmatus	CB-27A	47,5	747076	
Methylomarinovum caldicuralii	IT-9	47,5	438856	
Alicyclobacillus sacchari	RB718	47,5	392010	
Aneurinibacillus danicus	NCIMB 13288	47,5	267746	
Haloparvum alkalitolerans	MK62-1	47,5	1042953	
Crenobacter luteus	YIM 78141	45	1452487	
Roseomonas alkaliterrae	YIM 78007	45	-1	
Halarchaeum solikamskense	RS94	42,5	1073081	
Natronorubrum sulfidifaciens	AD2	45,5	388259	
Halorhabdus tiamatea	SARL4B	45	1033806	GCA_000470655.1
Haloferax larsenii	ZJ206	43,5	302484	
Paludifilum halophilum	SMBg3	42,5	1642702	
Brevibacillus fulvus	K2814 	42,5	1125967	
Lutaonella thermophila	CC-MHSW-2 	42,5	488549	
Alicyclobacillus fastidiosus	S-TAB	42,5	392011	
Brevibacillus levickii	LMG 22481	42,5	278990	
Ruegeria intermedia	CC-GIMAT-2 	41	996115	
Altererythrobacter palmitatis	YIM 75004	41	2054628	
Altererythrobacter lauratis	YIM 75003	41	2054627	
