Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
Clostridium perfringens		NCTC 3110	No	bloo agar,37, strict anaerobe	meat broth,37, strict anaerobe
Brucella suis	519	NCTC 3142	No	Blood agar, 37, aerobic	Nutrient broth,37, aerobic
Brucella suis	530	NCTC 3143	No	Blood agar,37, aerobic	Nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Senftenberg	734 (CN 6650)	NCTC 3158	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus gordonii	Pyorrhoea	NCTC 3165	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sanguinis	I	NCTC 3166	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sanguinis	Green spreader	NCTC 3168	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Paratyphi B	HB 2	NCTC 3176	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus mirabilis	Calf	NCTC 3177	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium perfringens	CT 75	NCTC 3180	No	Blood agar,37C, strict anaerobe	Meat broth,37C, strict anaerobe
Clostridium perfringens	CT 29	NCTC 3181	No	Blood agar,37C, strict anaerobe	Meat broth,37C, strict anaerobe
Clostridium perfringens	CT 47	NCTC 3182	No	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	meat broth,37, strict anaerobe
Neisseria flavescens	156	NCTC 3191	No	chocolate blood agar,37, aerobic	chocolate blood agar,nutrient broth,37, aerobic
Pasteurella multocida	HS	NCTC 3195	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium bovis	Evans	NCTC 3224	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Clostridium perfringens	Wye 3	NCTC 3227	No	Blood agar,37C, strict anaerobe	Meat broth,37C, strict anaerobe
Achromobacter sp.	ATCC 337	NCTC 3233	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Streptomyces somaliensis	IX	NCTC 3236	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Klebsiella aerogenes	Biberratte	NCTC 3279	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Paenibacillus alvei	127	NCTC 3324	Yes	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Paenibacillus alvei	179	NCTC 3349	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, aerobic
Streptococcus pyogenes	Dochez	NCTC 3359	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus equuli	Foal	NCTC 3365	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Neisseria meningitidis	Ipswich 2	NCTC 3372	No	chocolate blood agar,37, aerobic	nutrient broth,37, aerobic
Neisseria meningitidis	Sixsmith	NCTC 3375	No	chocolate blood agar,37, aerobic	choclate blood agar,nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Eastbourne	Indole positive	NCTC 3378	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhi	S	NCTC 3390	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Avibacterium volantium	6	NCTC 3438	Yes	Chocolate blood agar, 48 hours, 37°C, requires carbon dioxide	nutrient broth,37, facultative anaerobe
Corynebacterium pseudotuberculosis	E 23	NCTC 3450	Yes	Columbia blood agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Brucella melitensis	H 26	NCTC 3511	No	Columbia Blood agar, 37C, O2, 48 hours	
Corynebacterium diphtheriae	5036	NCTC 3529	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	1243	NCTC 3544	No	lemco agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Elstree	NCTC 3569	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Monkey 155	NCTC 3571	No	Nutrient agar, 24-48 hours, 37°C, aerobic	lemco broth,37, facultative anaerobe
Brucella abortus	Dublin	NCTC 3605	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth, 37, aerobic
Bacillus subtilis	Marburg	NCTC 3610	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Moraxella (branhamella) catarrhalis	O	NCTC 3622	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Moraxella (branhamella) catarrhalis	4	NCTC 3623	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Moraxella (branhamella) catarrhalis	3	NCTC 3625	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium fortuitum	Cow 18	NCTC 3631	No	glucose agar,30, aerobic	glucose agar,30, aerobic
Corynebacterium kutscheri	Rat	NCTC 3655	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Neisseria flavescens	409	NCTC 3656	No	chocolate blood agar,37, aerobic	nutrient broth,37, aerobic
Vibrio cholerae	Doorenbos 80	NCTC 3661	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Burkholderia mallei	102	NCTC 3708	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Burkholderia mallei	106	NCTC 3709	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Staphylococcus aureus	Mrs Fox	NCTC 3750	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pseudomonas fluorescens	Spiers	NCTC 3756	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Staphylococcus aureus	A gamma	NCTC 3761	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Clostridium tetani	T 52 (0 form) TenBroeck Type VI	NCTC 3795	No	neo-peptone agar,37, strict anaerobe	meat broth,37, strict anaerobe
Serratia marcescens	Munro	NCTC 3804	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium botulinum	62	NCTC 3805	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium botulinum	97	NCTC 3806	No	meat broth,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium botulinum	115	NCTC 3807	No	3% columbian blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium botulinum	6B Nevin	NCTC 3815	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Mycobacterium smegmatis	179 Mist Bacillus	NCTC 3820	No	Lowenstein-Jensen slopes, 96 hours, 30°C, aerobic	nutrient broth,37, aerobic
Mycobacterium smegmatis	ATCC 281 Moellers Mist Bacillus	NCTC 3821	No	glucose agar,30, aerobic	7h9,30, aerobic
Streptococcus uberis	Diernhofer	NCTC 3858	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Kocuria rosea	Chapman	NCTC 3874	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Corynebacterium diphtheriae	467 E	NCTC 3984	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Withey	NCTC 3985	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Hull 333	NCTC 3986	No	blood agar,37, facultative anaerobe	lemco broth,37, facultative anaerobe
Corynebacterium diphtheriae	SDS 108	NCTC 3987	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	Hull 338	NCTC 3988	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	460	NCTC 3989	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae	911	NCTC 3990	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus coagulans	Tomato	NCTC 3991	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus coagulans	Berry	NCTC 3992	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus coagulans	Berry	NCTC 3993	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Streptococcus pyogenes	Aronson (Schitzer)	NCTC 4001	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Avibacterium endocarditidis	1	NCTC 4101	No	chocolate blood agar (co2),37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Moraxella (branhamella) catarrhalis	Chatham	NCTC 4103	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus warneri	3	NCTC 4133	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	42	NCTC 4135	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	95	NCTC 4136	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	135	NCTC 4137	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Actinomadura pelletieri	Naudi	NCTC 4162	Yes	glucose agar,37, aerobic	glucose broth,37, aerobic
Staphylococcus aureus	Insecticide	NCTC 4163	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient agar,37, facultative anaerobe
Escherichia coli	Fikri	NCTC 4168	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	Cleland	NCTC 4169	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,
Escherichia coli	Davis	NCTC 4174	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Proteus vulgaris	Lehmann	NCTC 4175	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	1	NCTC 4189	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Actinobacillus lignieresii	33	NCTC 4191	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus mirabilis	Monkey 3	NCTC 4199	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Rhodococcus equi	Jensen	NCTC 4219	No		
Staphylococcus haemolyticus	7516-C	NCTC 4276	No	nutrient broth,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kocuria varians	M 1/4	NCTC 4285	No	lemco agar,37,	lemco broth,37,
Staphylococcus warneri	I-2	NCTC 4287	No		
Erysipelothrix rhusiopathiae	Topley B	NCTC 4304	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium diphtheriae var intermedius	PW 8 (110)	NCTC 4305	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus dysgalactiae subsp. dysgalactiae	N 35	NCTC 4335	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Micrococcus luteus	C 7603	NCTC 4351	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Kocuria varians	6784c	NCTC 4355	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Salmonella enterica subsp. enterica serotype Enteritidis	Ratin 688	NCTC 4444	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Escherichia coli	Julian	NCTC 4450	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Brucella abortus	Canti	NCTC 4487	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Brucella suis	P 16	NCTC 4490	No	Blood agar,37, aerobic	Nutrient broth,37, aerobic
Actinomyces bovis	D 121	NCTC 4500	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinomyces bovis	D 127	NCTC 4502	No	glucose agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Lactobacillus acidophilus	Cruickshank 2	NCTC 4504	No	mrs media ano2,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptomyces sp.	Pollacci	NCTC 4518	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Streptomyces sp.	ATCC 549	NCTC 4521	No		
Streptomyces sp.	DR 1201	NCTC 4522	No		
Streptomyces griseus	ATCC 3311	NCTC 4523	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium farcinogenes subsp. senegalense	ATCC 3318	NCTC 4524	No		
Streptomyces hominis	ATCC 3008	NCTC 4525	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Streptococcus sp.	Azgazardah	NCTC 4540	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus alcalophilus	1	NCTC 4553	Yes	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Haemophilus parasuis	1374	NCTC 4557	Yes	Chocolate blood agar, 48 hours, 37°C, requires carbon dioxide	nutrient broth +f e,37, facultative anaerobe
Haemophilus influenzae	RAMC 18 Biotype III	NCTC 4560	No	chocolate blood agar,37, facultative anaerobe	nutrient broth + fe,37, facultative anaerobe
Clostridium botulinum	Lederle	NCTC 4587	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Neisseria pharyngis	Fleming 1	NCTC 4590	No	nutrient agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Neisseria maccae	Fleming 6	NCTC 4591	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Serratia marcescens	MEC	NCTC 4618	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Serratia marcescens	Lasseur	NCTC 4619	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus vulgaris	O X L (Felix)	NCTC 4635	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Proteus vulgaris	H X L (Felix)	NCTC 4636	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium pseudotuberculosis	2	NCTC 4655	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium pseudotuberculosis	3	NCTC 4656	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Corynebacterium pseudotuberculosis	4	NCTC 4657	No	serum agar,37, facultative anaerobe	columbia blood agar,37, facultative anaerobe
Streptococcus dysgalactiae subsp. dysgalactiae	S 32	NCTC 4669	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus dysgalactiae subsp. dysgalactiae	N 33	NCTC 4670	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus dysgalactiae subsp. dysgalactiae	S 54	NCTC 4671	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus uberis	S 51	NCTC 4672	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus uberis	N 20	NCTC 4673	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus uberis	N 29	NCTC 4674	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus equi subsp. zooepidemicus	S 55	NCTC 4675	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus equi subsp. zooepidemicus	S 34	NCTC 4676	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Streptococcus sp.	T 7	NCTC 4678	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium pseudotuberculosis	B 65	NCTC 4681	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	columbia blood agar,37, facultative anaerobe
Corynebacterium pseudotuberculosis	B 68	NCTC 4683	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Corynebacterium pseudotuberculosis	Soil	NCTC 4691	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae	Japanese, original	NCTC 4693	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae non 0:1	Nanking 32/123	NCTC 4711	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae non O:1	El Tor 34-D 19	NCTC 4714	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae non 0:1	El Tor 34-D 23	NCTC 4715	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Vibrio cholerae non 0:1	KASAULI 73	NCTC 4716	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium putrificum	Wound	NCTC 4718	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Shigella flexneri	Denton 1	NCTC 4720	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus sp.	Motile	NCTC 4725	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Kocuria varians	Rex	NCTC 4736	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Paenibacillus macerans	Porter	NCTC 4743	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Paenibacillus polymyxa	Pribram	NCTC 4744	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Paenibacillus polymyxa	Porter	NCTC 4747	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Enteritidis	450	NCTC 4776	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Enteritidis	4777 451 9, 12:g, m:-	NCTC 4777	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhimurium	1810 0-form	NCTC 4782	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Eastbourne	Indole negative	NCTC 4785	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Sporosarcina ureae	229	NCTC 4819	No	Nutrient agar, 30C, O2, 24 hours	
Bacillus carotarum	G 21	NCTC 4821	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus freudenreichii	Gibson 68	NCTC 4823	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Bacillus lentus	Gibson 165	NCTC 4824	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
bacillus loehnisii	97	NCTC 4825	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Shigella dysenteriae	Newcastle 1934	NCTC 4837	Yes	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Poona	Dunbar	NCTC 4840	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Haemophilus influenzae	AF Biotype III	NCTC 4842	No	chocolate blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Burkholderia pseudomallei	S 397	NCTC 4845	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Burkholderia pseudomallei	S 396	NCTC 4846	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Actinomyces israelii	Hillier	NCTC 4860	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Listeria monocytogenes	Fowl 5443	NCTC 4883	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Listeria monocytogenes	OBrien	NCTC 4885	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
